emotion_label,source,actors,path,emotion2,emotion3
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_back_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_bar_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_base_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_bath_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_bean_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_beg_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_bite_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_boat_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_bone_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_book_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_bought_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_burn_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_cab_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_calm_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_came_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_cause_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_chain_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_chair_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_chalk_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_chat_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_check_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_cheek_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_chief_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_choice_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_cool_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_dab_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_date_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_dead_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_death_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_deep_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_dime_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_dip_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_ditch_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_dodge_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_dog_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_doll_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_door_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_fail_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_fall_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_far_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_fat_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_fit_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_five_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_food_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_gap_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_gas_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_gaze_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_germ_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_get_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_gin_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_goal_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_good_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_goose_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_gun_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_half_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_hall_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_hash_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_hate_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_have_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_haze_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_hire_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_hit_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_hole_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_home_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_hurl_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_hush_fear.wav,negative_female,fear_female
fear_female,TESS,female,d://downloads//data3//OAF_Fear/OAF_jail_fear.wav,negative_female,fear_female
